Yellowhead,Conservative/Conservateur,37950,72.3
Yellowhead,Liberal/Libéral,7467,14.2
Yellowhead,NDP-New Democratic Party/NPD-Nouveau Parti démocratique,4753,9
Yellowhead,Green Party/Parti Vert,1538,2.9
Yellowhead,Libertarian/Libertarien,817,1.6
